id,name,type,source_seconds,roof_point_support,parent,inferred
O088,老屋区瓦顶单元 088,gable,256,84,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O089,老屋区瓦顶单元 089,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O090,老屋区瓦顶单元 090,gable,256,7,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O091,老屋区瓦顶单元 091,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O092,老屋区瓦顶单元 092,gable,256,9,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O094,老屋区瓦顶单元 094,gable,256,53,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O095,老屋区瓦顶单元 095,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
O096,老屋区瓦顶单元 096,gable,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R001,返航北池边灰色住宅,flat,256,172,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R002,返航北池边白色窄楼,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R004,返航北池边白色长楼,flat,256,484,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R007,返航北池边老灰楼,flat,256,405,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R008,返航北池边旧屋顶,flat,256,59,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R009,返航北池边西侧蓝顶楼,flat,256,105,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R010,返航北池边西侧红瓦露台楼,flat,256,232,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R011,返航北池边西侧小白楼,flat,256,70,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R012,返航北池边西侧米色楼,flat,256,349,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R013,返航北池边西侧拼花顶白楼,flat,256,769,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R014,返航北池边西侧低灰楼,flat,256,144,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R015,返航北池边中央平顶旧楼,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R016,村内白色高窄楼,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R017,村内白色长露台楼,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R018,村内灰色旧三层楼,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R020,东侧灰色三层住宅,flat,256,79,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R021,东南侧白色转角大住宅,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R022,东南侧白色大露台住宅,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R023,东南侧白色宽体住宅,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R024,东南侧带光伏屋顶住宅,solar,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R025,村南侧浅黄色屋顶住宅,flat,256,7,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R026,村南侧灰色窄楼,flat,256,41,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R027,村南側棕色窄楼,flat,256,21,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R028,村南侧最前方白色露台楼,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R029,村南侧最前方白色长楼,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R030,村南侧近景蓝色金属顶,metal,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
R031,村南侧近景白色窄楼,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A001,近路白色露台住宅,flat,0,6,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A002,近路米色白顶住宅,flat,0,4,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A003,近路白色折角屋顶住宅,flat,0,7,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A004,近路最前方光伏住宅,solar,0,11,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A005,近路最前方白色折角住宅,flat,0,11,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A006,中列近景白色长屋顶,flat,0,3,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A007,中列最近景白色窄长屋顶,flat,0,13,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A008,中列近景白色露台住宅,flat,0,3,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A009,中列近景灰色平顶住宅,flat,0,17,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A010,中列中段白色大露台住宅,flat,0,4,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A011,中列中段光伏住宅,solar,0,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A012,中列西侧光伏住宅,solar,0,1,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A013,西中列白色窄长露台楼,flat,0,2,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A014,西中列近景白顶楼,flat,0,5,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A015,西中列灰色旧屋顶楼,flat,0,31,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A016,西侧大拼花露台楼,flat,0,18,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A017,西侧近景白顶楼,flat,0,5,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A018,西中区拼花露台住宅,flat,0,25,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A019,西侧黄色三层住宅,flat,0,13,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A020,西中区白色折角住宅,flat,0,5,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A021,西中区棕灰色平顶住宅,flat,0,6,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A022,西中区白顶矮层住宅,flat,0,1,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A023,中列暖白色三层住宅,flat,0,8,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A024,中列前方白色窄楼,flat,0,4,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A025,中列前方白色宽楼,flat,0,2,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A026,中列前方白色低翼,flat,0,3,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A027,中西列浅黄三层楼,flat,0,2,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A028,中西列白色三层露台楼,flat,0,6,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A029,中西列白色屋顶前翼,flat,0,1,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A030,西侧中段灰顶白色三层楼,flat,0,3,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A031,西侧中段白顶三层楼,flat,0,4,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A032,西侧中段浅黄屋顶楼,flat,0,7,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A033,西侧中段白色窄楼,flat,0,2,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A034,西侧带顶楼阳台住宅,flat,0,7,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A035,西侧中段灰色三层楼,flat,0,7,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A036,左边缘白色长露台楼,flat,0,1,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A037,左边缘白色宽露台楼,flat,0,1,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A038,左边缘白顶高楼,flat,0,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A039,左边缘白顶中段低翼,flat,0,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A040,左边缘白色折角三层楼,flat,0,6,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A041,左边缘白色中段住宅,flat,0,1,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A042,近路旧混凝土低楼,flat,0,17,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A043,近路旧混凝土低楼东翼,flat,0,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A044,近路中段露台低楼,flat,0,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A045,近路中段南露台低楼,flat,0,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A046,近路后段大露台低楼,flat,0,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A047,中列旧灰色屋顶后翼,flat,0,5,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A048,西中列旧灰色屋顶后翼,flat,0,6,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A049,西侧中段白色窄露台楼,flat,0,2,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
A050,西侧近景露台高楼附翼,flat,0,5,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N001,北路西端米色窄楼,flat,76,16,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N002,北路西端灰白宽体楼,flat,76,35,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N003,北路中段在建楼,flat,76,2,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N004,北路中段白色拱窗楼,flat,76,11,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N005,北路中段白色阳台楼,flat,76,3,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N006,北路东端灰色楼,flat,76,2,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N007,北路东侧两层长楼,flat,76,349,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N008,北路小白色服务房,flat,76,31,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N009,北路小灰色服务房,flat,76,39,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N010,北路住宅区灰色旧矮楼,flat,76,318,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N011,北路住宅区灰色一层长楼,flat,76,19,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N012,北路左侧白色平顶住宅,flat,76,40,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N013,北路左侧白色露台住宅,flat,76,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N014,北路左侧白色小露台楼,flat,76,52,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N015,北村东缘白色三层楼,flat,104,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N016,北村东缘蓝色四坡顶楼,hip,104,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N017,北村东缘白色露台楼,flat,104,2,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N018,北村东缘金属顶库房,metal,104,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N019,池塘东侧独立灰色住宅,flat,44,1,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N020,池塘东侧蓝色矮棚,metal,44,8,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
N021,近路田边白色小屋,flat,44,16,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B032,裸砖高层邻屋,flat,44,116,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B033,裸砖高层邻屋南翼,flat,44,138,B032,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B034,近景中列白色折角屋顶住宅,flat,44,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
B035,白色拱窗住宅后方独立白顶住宅,flat,256,0,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
F002,北侧村群住宅 002,flat,88,1,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
F003,北侧村群住宅 003,flat,88,2,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
F004,北侧村群住宅 004,flat,88,3,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
F005,北侧村群住宅 005,flat,88,1,,背面、遮挡区域、门窗及附属细节按用户授权推测；尺寸为近似值。
